id,name,start,stop,func,noise
1,start.1.wav,0:00:02.212,0:00:03.313,1,0
2,stop.1.wav,0:00:03.827,0:00:04.782,0,0
3,start.2.wav,0:01:04.090,0:01:04.952,1,1
4,stop.2.wav,0:01:05.716,0:01:06.641,0,1
5,start.0.wav,0:01:24.988,0:01:25.739,1,0
6,stop.0.wav,0:01:26.171,0:01:27.231,0,0
7,start.3.wav,0:01:30.503,0:00:00.000,1,1
8,stop.3.wav,0:01:32.017,0:00:00.000,0,1
9,start.4.wav,0:01:51.731,0:00:00.000,1,0
10,stop.4.wav,0:01:52.732,0:00:00.000,0,0
11,start.5.wav,0:01:57.080,0:00:00.000,1,1
12,stop.5.wav,0:01:58.140,0:00:00.000,0,1
13,start.6.wav,0:02:14.167,0:00:00.000,1,0
14,stop.6.wav,0:02:15.610,0:00:00.000,0,0
15,start.7.wav,0:02:18.355,0:00:00.000,1,1
16,stop.7.wav,0:02:19.539,0:00:00.000,0,1
17,start.8.wav,0:02:34.473,0:00:00.000,1,0
18,stop.8.wav,0:02:35.544,0:00:00.000,0,0
19,start.9.wav,0:02:39.732,0:00:00.000,1,1
20,stop.9.wav,0:02:40.569,0:00:00.000,0,1
21,start.10.wav,0:02:54.906,0:00:00.000,1,0
22,stop.10.wav,0:02:55.830,0:00:00.000,0,0
23,start.11.wav,0:02:58.632,0:00:00.000,1,1
24,stop.11.wav,0:02:59.408,0:00:00.000,0,1
25,start.12.wav,0:03:32.435,0:00:00.000,1,0
26,stop.12.wav,0:03:33.865,0:00:00.000,0,0
27,start.13.wav,0:03:36.719,0:00:00.000,1,1
28,stop.13.wav,0:03:37.964,0:00:00.000,0,1
29,start.14.wav,0:03:50.546,0:00:00.000,1,0
30,stop.14.wav,0:03:51.236,0:00:00.000,0,0
31,start.15.wav,0:03:57.997,0:00:00.000,1,1
32,stop.15.wav,0:03:58.625,0:00:00.000,0,1
33,start.16.wav,0:04:13.281,0:00:00.000,1,0
34,stop.16.wav,0:04:13.922,0:00:00.000,0,0
35,start.17.wav,0:04:21.478,0:00:00.000,1,1
36,stop.17.wav,0:04:22.342,0:00:00.000,0,1
37,start.18.wav,0:04:35.491,0:00:00.000,1,0
38,stop.18.wav,0:04:36.380,0:00:00.000,0,0
39,start.19.wav,0:04:38.608,0:00:00.000,1,1
40,stop.19.wav,0:04:39.410,0:00:00.000,0,1
41,start.20.wav,0:04:51.226,0:00:00.000,1,0
42,stop.20.wav,0:04:52.237,0:00:00.000,0,0
43,start.21.wav,0:04:54.566,0:00:00.000,1,1
44,stop.21.wav,0:04:55.539,0:00:00.000,0,1
45,start.22.wav,0:05:11.718,0:00:00.000,1,0
46,stop.22.wav,0:05:12.360,0:00:00.000,0,0
47,start.23.wav,0:05:16.587,0:00:00.000,1,1
48,stop.23.wav,0:05:17.757,0:00:00.000,0,1
49,start.24.wav,0:05:32.088,0:00:00.000,1,0
50,stop.24.wav,0:05:33.837,0:00:00.000,0,0
51,start.25.wav,0:05:36.696,0:00:00.000,1,1
52,stop.25.wav,0:05:38.395,0:00:00.000,0,1
53,start.26.wav,0:05:54.893,0:00:00.000,1,0
54,stop.26.wav,0:05:55.990,0:00:00.000,0,0
55,start.27.wav,0:05:59.673,0:00:00.000,1,1
56,stop.27.wav,0:06:00.573,0:00:00.000,0,1
57,start.28.wav,0:06:17.184,0:00:00.000,1,0
58,stop.28.wav,0:06:18.010,0:00:00.000,0,0
59,start.29.wav,0:06:21.386,0:00:00.000,1,1
60,stop.29.wav,0:06:22.250,0:00:00.000,0,1
61,start.30.wav,0:06:33.663,0:00:00.000,1,0
62,stop.30.wav,0:06:34.773,0:00:00.000,0,0
63,start.31.wav,0:06:37.005,0:00:00.000,1,1
64,stop.31.wav,0:06:37.868,0:00:00.000,0,1
65,start.32.wav,0:06:46.418,0:00:00.000,1,0
66,stop.32.wav,0:06:47.205,0:00:00.000,0,0
67,start.33.wav,0:06:49.005,0:00:00.000,1,1
68,stop.33.wav,0:06:49.794,0:00:00.000,0,1
69,start.34.wav,0:07:07.601,0:00:00.000,1,0
70,stop.34.wav,0:07:08.335,0:00:00.000,0,0
71,start.35.wav,0:07:10.788,0:00:00.000,1,1
72,stop.35.wav,0:07:11.453,0:00:00.000,0,1
73,start.36.wav,0:07:27.752,0:00:00.000,1,0
74,stop.36.wav,0:07:28.763,0:00:00.000,0,0
75,start.37.wav,0:07:30.636,0:00:00.000,1,1
76,stop.37.wav,0:07:31.399,0:00:00.000,0,1
77,start.38.wav,0:07:40.989,0:00:00.000,1,0
78,stop.38.wav,0:07:41.866,0:00:00.000,0,0
79,start.39.wav,0:07:43.996,0:00:00.000,1,1
80,stop.39.wav,0:07:44.907,0:00:00.000,0,1
81,start.40.wav,0:08:08.089,0:00:00.000,1,0
82,stop.40.wav,0:08:08.854,0:00:00.000,0,0
83,start.41.wav,0:08:11.060,0:00:00.000,1,1
84,stop.41.wav,0:08:11.847,0:00:00.000,0,1
85,start.42.wav,0:08:22.951,0:00:00.000,1,0
86,stop.42.wav,0:08:23.540,0:00:00.000,0,0
87,start.43.wav,0:08:25.098,0:00:00.000,1,1
88,stop.43.wav,0:08:25.789,0:00:00.000,0,1
89,start.44.wav,0:08:37.067,0:00:00.000,1,0
